problem,|Yn|,|Y|,p,supported,extreme,unsupported
prob-2-600|600-ul-2_4.json,1202,357758,2,,,
prob-2-200|200-ul-2_5.json,492,39966,2,,,
prob-2-200|200-ll-2_3.json,2119,39962,2,,,
prob-2-300|300-ll-2_1.json,3347,89846,2,,,
prob-2-600|600-uu-2_2.json,1564,356915,2,,,
prob-2-200|200-uu-2_3.json,594,39965,2,,,
prob-2-300|300-uu-2_1.json,799,89823,2,,,
prob-2-50|50|50-lll-3_2.json,1313,124883,2,,,
prob-2-600|600-ll-2_2.json,6647,356993,2,,,
prob-2-50|50|50-ull-3_5.json,654,124888,2,,,
prob-2-50|50|50-uuu-3_5.json,386,124945,2,,,
prob-2-600|600-mm-2_4.json,6440,271166,2,,,
prob-2-200|200-mm-2_5.json,2023,39631,2,,,
prob-2-50|50|50-mmm-3_1.json,758,124507,2,,,
prob-2-50|50-mm-2_1.json,297,2499,2,,,
prob-2-200|200-mm-2_4.json,1935,39570,2,,,
prob-2-600|600-mm-2_5.json,6195,270682,2,,,
prob-2-50|50|50-uuu-3_4.json,536,124885,2,,,
prob-2-50|50|50-ull-3_4.json,961,124879,2,,,
prob-2-50|50|50-lll-3_3.json,1369,124909,2,,,
prob-2-600|600-ll-2_3.json,6685,356832,2,,,
prob-2-200|200-uu-2_2.json,686,39976,2,,,
prob-2-600|600-uu-2_3.json,1415,356903,2,,,
prob-2-200|200-ll-2_2.json,2095,39946,2,,,
prob-2-200|200-ul-2_4.json,470,39971,2,,,
prob-2-50|50-ul-2_1.json,173,2500,2,,,
prob-2-600|600-ul-2_5.json,1202,357828,2,,,
prob-2-50|50|50-ull-3_3.json,593,124956,2,,,
prob-2-50|50|50-uuu-3_3.json,350,124882,2,,,
prob-2-600|600-mm-2_2.json,6364,273936,2,,,
prob-2-200|200-mm-2_3.json,1998,39577,2,,,
prob-2-300|300-mm-2_1.json,2819,86973,2,,,
prob-2-600|600-ul-2_2.json,1207,357967,2,,,
prob-2-300|300-ul-2_1.json,743,89852,2,,,
prob-2-200|200-ul-2_3.json,565,39967,2,,,
prob-2-200|200-ll-2_5.json,2112,39966,2,,,
prob-2-600|600-uu-2_4.json,1565,357056,2,,,
prob-2-200|200-uu-2_5.json,583,39968,2,,,
prob-2-50|50|50-lll-3_4.json,1259,124939,2,,,
prob-2-600|600-ll-2_4.json,6700,357126,2,,,
prob-2-50|50-uu-2_1.json,168,2500,2,,,
prob-2-50|50|50-lll-3_5.json,1259,124939,2,,,
prob-2-600|600-ll-2_5.json,6620,356884,2,,,
prob-2-200|200-uu-2_4.json,504,39966,2,,,
prob-2-600|600-uu-2_5.json,1237,357073,2,,,
prob-2-50|50-ll-2_1.json,367,2500,2,,,
prob-2-200|200-ll-2_4.json,2072,39967,2,,,
prob-2-200|200-ul-2_2.json,469,39966,2,,,
prob-2-600|600-ul-2_3.json,1220,357732,2,,,
prob-2-200|200-mm-2_2.json,1694,39550,2,,,
prob-2-600|600-mm-2_3.json,6405,269091,2,,,
prob-2-50|50|50-uuu-3_2.json,429,124911,2,,,
prob-2-50|50|50-ull-3_2.json,614,124892,2,,,
prob-3-50|50|50-uuu-3_5.json,2179,125000,3,,,
prob-2-50|50|50-mmm-3_5.json,664,124554,2,,,
prob-2-50|50-mm-2_4.json,237,2500,2,,,
prob-5-50|50-mm-2_2.json,1896,2500,5,,,
prob-2-300|300-mm-2_3.json,2852,87044,2,,,
prob-2-200|200-mm-2_1.json,1745,39612,2,,,
prob-4-50|50|50-lll-3_1.json,50154,125000,4,,,
prob-3-50|50|50-ull-3_5.json,2810,125000,3,,,
prob-3-50|50-ul-2_5.json,633,2500,3,,,
prob-4-50|50-ul-2_3.json,1705,2500,4,,,
prob-4-50|50-ll-2_5.json,1874,2500,4,,,
prob-3-50|50-ll-2_3.json,846,2500,3,,,
prob-3-50|50|50-mmm-3_1.json,3938,125000,3,,,
prob-2-50|50|50-uuu-3_1.json,475,124925,2,,,
prob-4-50|50-uu-2_5.json,1786,2500,4,,,
prob-3-50|50-uu-2_3.json,501,2500,3,,,
prob-5-50|50|50-lll-3_5.json,91124,125000,5,,,
prob-2-50|50|50-ull-3_1.json,659,124944,2,,,
prob-5-50|50|50-ull-3_2.json,93014,125000,5,,,
prob-2-50|50-uu-2_2.json,219,2500,2,,,
prob-2-300|300-uu-2_5.json,707,89793,2,,,
prob-5-50|50-uu-2_4.json,2275,2500,5,,,
prob-4-50|50|50-mmm-3_2.json,41470,125000,4,,,
prob-2-50|50-ll-2_2.json,380,2500,2,,,
prob-5-50|50|50-uuu-3_2.json,91770,125000,5,,,
prob-2-300|300-ll-2_5.json,3293,89850,2,,,
prob-2-200|200-ul-2_1.json,565,39973,2,,,
prob-2-300|300-ul-2_3.json,736,89876,2,,,
prob-5-50|50-ul-2_2.json,2320,2500,5,,,
prob-2-50|50-ul-2_4.json,239,2500,2,,,
prob-3-50|50|50-lll-3_2.json,5354,125000,3,,,
prob-4-50|50-mm-2_3.json,1598,2500,4,,,
prob-3-50|50-mm-2_5.json,726,2500,3,,,
prob-3-50|50-mm-2_4.json,649,2500,3,,,
prob-2-600|600-ul-2_1.json,1230,357741,2,,,
prob-4-50|50-mm-2_2.json,1465,2500,4,,,
prob-2-50|50-ul-2_5.json,183,2500,2,,,
prob-3-50|50|50-lll-3_3.json,5147,125000,3,,,
prob-2-300|300-ul-2_2.json,619,89846,2,,,
prob-5-50|50-ul-2_3.json,2325,2500,5,,,
prob-5-50|50-ll-2_5.json,2359,2500,5,,,
prob-2-300|300-ll-2_4.json,3313,89836,2,,,
prob-2-50|50-ll-2_3.json,422,2500,2,,,
prob-5-50|50|50-uuu-3_3.json,102497,125000,5,,,
prob-4-50|50|50-mmm-3_3.json,40416,125000,4,,,
prob-2-300|300-uu-2_4.json,825,89793,2,,,
prob-5-50|50-uu-2_5.json,2378,2500,5,,,
prob-5-50|50|50-ull-3_3.json,96820,125000,5,,,
prob-2-50|50-uu-2_3.json,218,2500,2,,,
prob-5-50|50|50-lll-3_4.json,93279,125000,5,,,
prob-3-50|50-uu-2_2.json,460,2500,3,,,
prob-4-50|50-uu-2_4.json,2077,2500,4,,,
prob-3-50|50-ll-2_2.json,794,2500,3,,,
prob-4-50|50-ll-2_4.json,1840,2500,4,,,
prob-4-50|50-ul-2_2.json,1880,2500,4,,,
prob-3-50|50-ul-2_4.json,518,2500,3,,,
prob-2-600|600-mm-2_1.json,6398,271545,2,,,
prob-3-50|50|50-ull-3_4.json,3074,125000,3,,,
prob-5-50|50-mm-2_3.json,2207,2500,5,,,
prob-2-300|300-mm-2_2.json,2902,86560,2,,,
prob-2-50|50|50-mmm-3_4.json,647,124494,2,,,
prob-2-50|50-mm-2_5.json,336,2500,2,,,
prob-3-50|50|50-uuu-3_4.json,1424,125000,3,,,
prob-2-50|50-uu-2_4.json,203,2500,2,,,
prob-4-600|600-uu-2_1.json,209029,360000,4,,,
prob-4-300|300-ll-2_2.json,48640,90000,4,,,
prob-2-300|300-uu-2_3.json,820,89784,2,,,
prob-3-300|300-ul-2_5.json,2861,90000,3,,,
prob-2-200|200-uu-2_1.json,651,39961,2,,,
prob-4-600|600-ll-2_1.json,190106,360000,4,,,
prob-2-50|50-ll-2_4.json,382,2500,2,,,
prob-2-300|300-ll-2_3.json,3379,89787,2,,,
prob-5-300|300-ul-2_4.json,72342,90000,5,,,
