prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size
l-l_10_10_lexmin_1_,10,10,18,0.002110004425048828,0,0.0,l,l,10,10,1,lexmin,100,43
l-l_10_10_lexmin_2_,10,10,7,0.0007338523864746094,0,0.0,l,l,10,10,2,lexmin,100,42
l-l_10_10_lexmin_3_,10,10,18,0.001837015151977539,0,0.0,l,l,10,10,3,lexmin,100,28
l-l_10_10_lexmin_4_,10,10,10,0.0010230541229248047,0,0.0,l,l,10,10,4,lexmin,100,42
l-l_10_10_lexmin_5_,10,10,7,0.0006151199340820312,0,0.0,l,l,10,10,5,lexmin,100,43
l-m_10_10_lexmin_1_,10,10,16,0.0017611980438232422,0,0.0,l,m,10,10,1,lexmin,100,53
l-m_10_10_lexmin_2_,10,10,7,0.0006611347198486328,0,0.0,l,m,10,10,2,lexmin,100,38
l-m_10_10_lexmin_3_,10,10,9,0.0008218288421630859,0,0.0,l,m,10,10,3,lexmin,100,36
l-m_10_10_lexmin_4_,10,10,15,0.0015459060668945312,0,0.0,l,m,10,10,4,lexmin,100,36
l-m_10_10_lexmin_5_,10,10,9,0.000827789306640625,0,0.0,l,m,10,10,5,lexmin,100,34
l-u_10_10_lexmin_1_,10,10,19,0.001917123794555664,1,0.1,l,u,10,10,1,lexmin,100,46
l-u_10_10_lexmin_2_,10,10,12,0.0011038780212402344,2,0.2,l,u,10,10,2,lexmin,100,27
l-u_10_10_lexmin_3_,10,10,11,0.0009698867797851562,0,0.0,l,u,10,10,3,lexmin,100,39
l-u_10_10_lexmin_4_,10,10,16,0.001615762710571289,6,0.6,l,u,10,10,4,lexmin,100,21
l-u_10_10_lexmin_5_,10,10,5,0.00039505958557128906,0,0.0,l,u,10,10,5,lexmin,100,32
m-l_10_10_lexmin_1_,10,10,18,0.0018298625946044922,0,0.0,m,l,10,10,1,lexmin,100,34
m-l_10_10_lexmin_2_,10,10,15,0.001378774642944336,0,0.0,m,l,10,10,2,lexmin,100,36
m-l_10_10_lexmin_3_,10,10,17,0.0017080307006835938,0,0.0,m,l,10,10,3,lexmin,100,36
m-l_10_10_lexmin_4_,10,10,16,0.0014729499816894531,0,0.0,m,l,10,10,4,lexmin,100,38
m-l_10_10_lexmin_5_,10,10,24,0.002454042434692383,0,0.0,m,l,10,10,5,lexmin,100,53
m-m_10_10_lexmin_1_,10,10,18,0.0018110275268554688,0,0.0,m,m,10,10,1,lexmin,100,34
m-m_10_10_lexmin_2_,10,10,15,0.0014309883117675781,0,0.0,m,m,10,10,2,lexmin,100,34
m-m_10_10_lexmin_3_,10,10,13,0.0012650489807128906,0,0.0,m,m,10,10,3,lexmin,100,29
m-m_10_10_lexmin_4_,10,10,18,0.0018382072448730469,0,0.0,m,m,10,10,4,lexmin,100,34
m-m_10_10_lexmin_5_,10,10,17,0.0016720294952392578,0,0.0,m,m,10,10,5,lexmin,100,34
m-u_10_10_lexmin_1_,10,10,16,0.0015668869018554688,4,0.4,m,u,10,10,1,lexmin,100,36
m-u_10_10_lexmin_2_,10,10,17,0.0017249584197998047,3,0.3,m,u,10,10,2,lexmin,100,26
m-u_10_10_lexmin_3_,10,10,16,0.0014848709106445312,1,0.1,m,u,10,10,3,lexmin,100,39
m-u_10_10_lexmin_4_,10,10,13,0.001180887222290039,0,0.0,m,u,10,10,4,lexmin,100,27
m-u_10_10_lexmin_5_,10,10,19,0.0017809867858886719,5,0.5,m,u,10,10,5,lexmin,100,32
u-l_10_10_lexmin_1_,10,10,15,0.0015358924865722656,0,0.0,u,l,10,10,1,lexmin,100,32
u-l_10_10_lexmin_2_,10,10,10,0.0010297298431396484,0,0.0,u,l,10,10,2,lexmin,100,21
u-l_10_10_lexmin_3_,10,10,20,0.0020339488983154297,0,0.0,u,l,10,10,3,lexmin,100,39
u-l_10_10_lexmin_4_,10,10,7,0.0005838871002197266,0,0.0,u,l,10,10,4,lexmin,100,27
u-l_10_10_lexmin_5_,10,10,16,0.0016770362854003906,0,0.0,u,l,10,10,5,lexmin,100,46
u-m_10_10_lexmin_1_,10,10,8,0.0007069110870361328,0,0.0,u,m,10,10,1,lexmin,100,32
u-m_10_10_lexmin_2_,10,10,10,0.0010120868682861328,0,0.0,u,m,10,10,2,lexmin,100,27
u-m_10_10_lexmin_3_,10,10,16,0.0017447471618652344,0,0.0,u,m,10,10,3,lexmin,100,39
u-m_10_10_lexmin_4_,10,10,8,0.0007550716400146484,0,0.0,u,m,10,10,4,lexmin,100,26
u-m_10_10_lexmin_5_,10,10,7,0.000640869140625,0,0.0,u,m,10,10,5,lexmin,100,36
u-u_10_10_lexmin_1_,10,10,15,0.0015707015991210938,4,0.4,u,u,10,10,1,lexmin,100,38
u-u_10_10_lexmin_2_,10,10,11,0.0011608600616455078,0,0.0,u,u,10,10,2,lexmin,100,30
u-u_10_10_lexmin_3_,10,10,11,0.0011169910430908203,0,0.0,u,u,10,10,3,lexmin,100,41
u-u_10_10_lexmin_4_,10,10,6,0.0005061626434326172,0,0.0,u,u,10,10,4,lexmin,100,30
u-u_10_10_lexmin_5_,10,10,7,0.0006411075592041016,0,0.0,u,u,10,10,5,lexmin,100,38
l-l_10_10_extreme_1_,10,10,18,0.0032761096954345703,0,0.0,l,l,10,10,1,extreme,100,43
l-l_10_10_extreme_2_,10,10,14,0.0027790069580078125,0,0.0,l,l,10,10,2,extreme,100,42
l-l_10_10_extreme_3_,10,10,11,0.0016040802001953125,0,0.0,l,l,10,10,3,extreme,100,28
l-l_10_10_extreme_4_,10,10,19,0.003328084945678711,0,0.0,l,l,10,10,4,extreme,100,42
l-l_10_10_extreme_5_,10,10,12,0.0024819374084472656,0,0.0,l,l,10,10,5,extreme,100,43
l-m_10_10_extreme_1_,10,10,15,0.001989126205444336,0,0.0,l,m,10,10,1,extreme,100,53
l-m_10_10_extreme_2_,10,10,12,0.0015649795532226562,0,0.0,l,m,10,10,2,extreme,100,38
l-m_10_10_extreme_3_,10,10,14,0.002315044403076172,0,0.0,l,m,10,10,3,extreme,100,36
l-m_10_10_extreme_4_,10,10,14,0.0014760494232177734,0,0.0,l,m,10,10,4,extreme,100,36
