prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level,Y_size,Yn_size,G1_size,G2_size
l-l_10_10_extreme_1_,10,10,18,0.003470897674560547,0,0.0,l,l,10,10,1,extreme,100,43,10,10
l-l_10_10_extreme_2_,10,10,14,0.0027740001678466797,0,0.0,l,l,10,10,2,extreme,100,42,10,10
l-l_10_10_extreme_3_,10,10,11,0.001550912857055664,0,0.0,l,l,10,10,3,extreme,100,28,10,10
l-l_10_10_extreme_4_,10,10,19,0.0032808780670166016,0,0.0,l,l,10,10,4,extreme,100,42,10,10
l-l_10_10_extreme_5_,10,10,12,0.002396821975708008,0,0.0,l,l,10,10,5,extreme,100,43,10,10
l-m_10_10_extreme_1_,10,10,15,0.0020596981048583984,0,0.0,l,m,10,10,1,extreme,100,53,10,10
l-m_10_10_extreme_2_,10,10,12,0.0015149116516113281,0,0.0,l,m,10,10,2,extreme,100,38,10,10
l-m_10_10_extreme_3_,10,10,14,0.002232789993286133,0,0.0,l,m,10,10,3,extreme,100,36,10,10
l-m_10_10_extreme_4_,10,10,14,0.0014829635620117188,0,0.0,l,m,10,10,4,extreme,100,36,10,9
l-m_10_10_extreme_5_,10,10,12,0.0014619827270507812,0,0.0,l,m,10,10,5,extreme,100,34,10,10
l-u_10_10_extreme_1_,10,10,19,0.0018901824951171875,1,0.1,l,u,10,10,1,extreme,100,46,10,8
l-u_10_10_extreme_2_,10,10,12,0.0010821819305419922,2,0.2,l,u,10,10,2,extreme,100,27,10,8
l-u_10_10_extreme_3_,10,10,11,0.0009799003601074219,0,0.0,l,u,10,10,3,extreme,100,39,10,9
l-u_10_10_extreme_4_,10,10,16,0.0016078948974609375,6,0.6,l,u,10,10,4,extreme,100,21,10,4
l-u_10_10_extreme_5_,10,10,5,0.0003840923309326172,0,0.0,l,u,10,10,5,extreme,100,32,10,10
m-l_10_10_extreme_1_,10,10,22,0.0033402442932128906,0,0.0,m,l,10,10,1,extreme,100,34,10,10
m-l_10_10_extreme_2_,10,10,17,0.002928018569946289,0,0.0,m,l,10,10,2,extreme,100,36,9,10
m-l_10_10_extreme_3_,10,10,16,0.002630949020385742,0,0.0,m,l,10,10,3,extreme,100,36,10,10
m-l_10_10_extreme_4_,10,10,26,0.004338979721069336,0,0.0,m,l,10,10,4,extreme,100,38,10,10
m-l_10_10_extreme_5_,10,10,21,0.0044710636138916016,0,0.0,m,l,10,10,5,extreme,100,53,10,10
m-m_10_10_extreme_1_,10,10,17,0.0017740726470947266,0,0.0,m,m,10,10,1,extreme,100,34,9,10
m-m_10_10_extreme_2_,10,10,16,0.0018160343170166016,0,0.0,m,m,10,10,2,extreme,100,34,10,10
m-m_10_10_extreme_3_,10,10,17,0.0024662017822265625,1,0.1,m,m,10,10,3,extreme,100,29,9,7
m-m_10_10_extreme_4_,10,10,12,0.0011818408966064453,0,0.0,m,m,10,10,4,extreme,100,34,10,10
m-m_10_10_extreme_5_,10,10,12,0.0014908313751220703,1,0.1,m,m,10,10,5,extreme,100,34,10,9
m-u_10_10_extreme_1_,10,10,16,0.0015761852264404297,4,0.4,m,u,10,10,1,extreme,100,36,10,6
m-u_10_10_extreme_2_,10,10,17,0.0017249584197998047,3,0.3,m,u,10,10,2,extreme,100,26,10,7
m-u_10_10_extreme_3_,10,10,16,0.0014910697937011719,1,0.1,m,u,10,10,3,extreme,100,39,10,7
m-u_10_10_extreme_4_,10,10,13,0.0011730194091796875,0,0.0,m,u,10,10,4,extreme,100,27,10,9
m-u_10_10_extreme_5_,10,10,19,0.0018229484558105469,5,0.5,m,u,10,10,5,extreme,100,32,10,5
u-l_10_10_extreme_1_,10,10,15,0.0022630691528320312,0,0.0,u,l,10,10,1,extreme,100,32,10,10
u-l_10_10_extreme_2_,10,10,10,0.0011692047119140625,0,0.0,u,l,10,10,2,extreme,100,21,4,10
u-l_10_10_extreme_3_,10,10,16,0.0026700496673583984,0,0.0,u,l,10,10,3,extreme,100,39,9,10
u-l_10_10_extreme_4_,10,10,11,0.001435995101928711,0,0.0,u,l,10,10,4,extreme,100,27,8,10
u-l_10_10_extreme_5_,10,10,13,0.0027260780334472656,0,0.0,u,l,10,10,5,extreme,100,46,8,10
u-m_10_10_extreme_1_,10,10,12,0.0012688636779785156,0,0.0,u,m,10,10,1,extreme,100,32,5,10
u-m_10_10_extreme_2_,10,10,12,0.0015990734100341797,0,0.0,u,m,10,10,2,extreme,100,27,9,10
u-m_10_10_extreme_3_,10,10,14,0.002270936965942383,0,0.0,u,m,10,10,3,extreme,100,39,7,10
u-m_10_10_extreme_4_,10,10,6,0.0006110668182373047,0,0.0,u,m,10,10,4,extreme,100,26,7,10
u-m_10_10_extreme_5_,10,10,8,0.0008881092071533203,0,0.0,u,m,10,10,5,extreme,100,36,6,10
u-u_10_10_extreme_1_,10,10,15,0.0015821456909179688,4,0.4,u,u,10,10,1,extreme,100,38,10,6
u-u_10_10_extreme_2_,10,10,11,0.0011599063873291016,0,0.0,u,u,10,10,2,extreme,100,30,10,10
u-u_10_10_extreme_3_,10,10,11,0.0011677742004394531,0,0.0,u,u,10,10,3,extreme,100,41,8,8
