filename,max_size,MGS_sizes,MGS_size,MGS_size_max,MGS_size_min,Yn_size,Yn_size_duplicates,running_time,time_simplefilter,time_getfixed,time_check_fixed,time_check_generating,covering_IP_solved,covering_IP_time,Y_fixed,Y_reduced,prob_sizes_us,prob_sizes_us_total,MGS_sizes_us,MGS_sizes_us_max,MGS_sizes_us_min,MGS_sizes_us_avg,MGS_sizes_us_total,prob_sizes_se,prob_sizes_se_total,MGS_sizes_se,MGS_sizes_se_max,MGS_sizes_se_min,MGS_sizes_se_avg,MGS_sizes_se_total,prob_sizes_sne,prob_sizes_sne_total,MGS_sizes_sne,MGS_sizes_sne_max,MGS_sizes_sne_min,MGS_sizes_sne_avg,MGS_sizes_sne_total,count_u,only_u,only_u_avg,count_l,only_l,only_l_avg,count_m,only_m,only_m_avg
prob-2-100|100-mm-2_1.json,200,64-62,126,64,62,700,700,0.10229063034057617,0.06622743606567383,2.0194053649902344e-4,0.016496896743774414,0.019242525100708008,FALSE,2.384185791015625e-7,64-62,64-62,93-92,185,57-54,57,54,55.5,111,7-8,15,7-8,8,7,7.5,15,7-8,15,0-0,0,0,0,0,0,,NA,0,,NA,1,62,62
prob-2-100|100-mm-2_2.json,200,57-52,109,57,52,746,747,0.10346055030822754,0.0668187141418457,2.2292137145996094e-4,0.016892194747924805,0.019411087036132812,FALSE,4.76837158203125e-7,57-52,57-52,92-90,182,49-42,49,42,45.5,91,8-10,18,8-10,10,8,9,18,8-10,18,0-0,0,0,0,0,0,,NA,0,,NA,1,52,52
prob-2-100|100-mm-2_3.json,200,69-60,129,69,60,678,679,0.10209035873413086,0.06657910346984863,1.9669532775878906e-4,0.016283512115478516,0.018912553787231445,FALSE,2.384185791015625e-7,69-60,69-60,92-88,180,61-48,61,48,54.5,109,8-12,20,8-12,12,8,10,20,8-12,20,0-0,0,0,0,0,0,,NA,0,,NA,1,60,60
prob-2-100|100-mm-2_4.json,200,60-69,129,69,60,678,679,0.1059415340423584,0.06971955299377441,1.9168853759765625e-4,0.01661849021911621,0.01928234100341797,FALSE,2.384185791015625e-7,60-69,60-69,88-92,180,48-61,61,48,54.5,109,12-8,20,12-8,12,8,10,20,12-8,20,0-0,0,0,0,0,0,,NA,0,,NA,1,69,69
prob-2-100|100-mm-2_5.json,200,51-60,111,60,51,733,734,0.10261106491088867,0.06733417510986328,2.162456512451172e-4,0.016022920608520508,0.01893472671508789,FALSE,4.76837158203125e-7,51-60,51-60,90-89,179,41-49,49,41,45,90,10-11,21,10-11,11,10,10.5,21,10-11,21,0-0,0,0,0,0,0,,NA,0,,NA,1,60,60
prob-2-100|100-ul-2_1.json,200,6-100,106,100,6,260,260,0.090435028076171875,0.06338047981262207,7.9631805419921875e-05,0.013461112976074219,0.01340174674987793,FALSE,4.76837158203125e-7,6-100,6-100,98-16,114,4-16,16,4,10,20,2-83,85,2-83,83,2,42.5,85,2-84,86,0-1,1,0,0.5,1,1,6,6,1,100,100,0,,NA
prob-2-100|100-ul-2_2.json,200,13-100,113,100,13,333,333,0.08927226066589355,0.0615839958190918,1.0514259338378906e-4,0.013000726699829102,0.014478683471679688,FALSE,4.76837158203125e-7,13-100,13-100,98-21,119,11-21,21,11,16,32,2-78,80,2-78,78,2,40,80,2-79,81,0-1,1,0,0.5,1,1,13,13,1,100,100,0,,NA
prob-2-100|100-ul-2_3.json,200,10-100,110,100,10,284,284,0.08833026885986328,0.06153559684753418,8.58306884765625e-5,0.012902498245239258,0.013705015182495117,FALSE,2.384185791015625e-7,10-100,10-100,98-16,114,8-16,16,8,12,24,2-84,86,2-84,84,2,43,86,2-84,86,0-0,0,0,0,0,1,10,10,1,100,100,0,,NA
prob-2-100|100-ul-2_4.json,200,11-100,111,100,11,310,310,0.08864402770996094,0.06102442741394043,9.894371032714844e-5,0.013231992721557617,0.014185428619384766,FALSE,0,11-100,11-100,98-14,112,9-14,14,9,11.5,23,2-84,86,2-84,84,2,43,86,2-86,88,0-2,2,0,1,2,1,11,11,1,100,100,0,,NA
prob-2-100|100-ul-2_5.json,200,11-100,111,100,11,270,270,0.0863485336303711,0.06018996238708496,8.7738037109375e-5,0.012526273727416992,0.013442516326904297,FALSE,0,11-100,11-100,98-12,110,9-12,12,9,10.5,21,2-88,90,2-88,88,2,45,90,2-88,90,0-0,0,0,0,0,1,11,11,1,100,100,0,,NA
