path,p,card,supported,extreme,unsupported,min1,min2,max1,max2,width1,width2,filter_time,spCard1,spCard2,spSupported1,spSupported2,spExtreme1,spExtreme2,spUnsupported1,spUnsupported2,spCard3,spSupported3,spExtreme3,spUnsupported3,spCard4,spSupported4,spExtreme4,spUnsupported4,spCard5,spSupported5,spExtreme5,spUnsupported5,min3,max3,width3,min4,max4,width4,min5,max5,width5
results/algorithm1/alg1-prob-2-100|100-ll-2_1.json,2,886,167,164,719,6,2,19739,19565,19733,19563,0.0443,100,100,84,83,83,83,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ll-2_2.json,2,896,161,160,735,6,7,19509,19535,19503,19528,0.0438,100,100,79,83,78,83,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ll-2_3.json,2,883,167,160,716,8,0,19933,19476,19925,19476,0.0539,100,100,80,86,79,83,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ll-2_4.json,2,923,169,162,754,18,5,19562,19183,19544,19178,0.044,100,100,84,83,84,83,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ll-2_5.json,2,927,165,162,762,4,15,19254,19592,19250,19577,0.0517,100,100,86,79,86,78,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-mm-2_1.json,2,700,14,14,686,2,23,17885,17564,17883,17541,0.0541,100,100,7,8,7,8,93,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-mm-2_2.json,2,746,17,17,729,2,8,18312,17957,18310,17949,0.0455,100,100,8,10,8,10,92,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-mm-2_3.json,2,678,19,19,659,3,6,18371,17364,18368,17358,0.047,100,100,8,12,8,12,92,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-mm-2_4.json,2,678,19,19,659,3,6,18371,17364,18368,17358,0.0559,100,100,8,12,8,12,92,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-mm-2_5.json,2,733,20,20,713,6,3,17661,18580,17655,18577,0.0474,100,100,11,10,11,10,89,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ul-2_1.json,2,260,85,84,175,74,151,19925,19871,19851,19720,0.0438,100,100,84,2,83,2,16,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ul-2_2.json,2,333,80,79,253,82,344,19690,19841,19608,19497,0.0439,100,100,79,2,78,2,21,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ul-2_3.json,2,284,85,85,199,54,126,19748,19489,19694,19363,0.0437,100,100,84,2,84,2,16,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ul-2_4.json,2,310,87,85,223,81,339,19926,19998,19845,19659,0.044,100,100,86,2,84,2,14,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-ul-2_5.json,2,270,89,89,181,73,165,19468,19985,19395,19820,0.0442,100,100,88,2,88,2,12,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-uu-2_1.json,2,366,3,3,363,41,196,19999,20000,19958,19804,0.0456,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-uu-2_2.json,2,364,3,3,361,32,172,19999,20000,19967,19828,0.0454,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-uu-2_3.json,2,344,3,3,341,194,356,19994,19999,19800,19643,0.0457,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-uu-2_4.json,2,299,3,3,296,144,162,19999,19999,19855,19837,0.0482,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100-uu-2_5.json,2,385,3,3,382,105,79,20000,20000,19895,19921,0.048,100,100,2,2,2,2,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-lll-3_1.json,2,3230,259,243,2971,3,11,29370,29670,29367,29659,0.4905,100,100,86,83,86,79,14,17,100,86,84,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-lll-3_2.json,2,3044,252,239,2792,21,8,29385,28943,29364,28935,0.48,100,100,84,79,84,78,16,21,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-lll-3_3.json,2,2914,252,242,2662,14,3,29674,29350,29660,29347,0.4614,100,100,86,84,84,84,14,16,100,80,79,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-lll-3_4.json,2,3092,255,243,2837,8,19,29105,29439,29097,29420,0.4638,100,100,79,88,78,88,21,12,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-lll-3_5.json,2,3124,249,239,2875,2,19,29158,29689,29156,29670,0.4806,100,100,80,79,79,78,20,21,100,88,88,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-mmm-3_1.json,2,1845,32,30,1813,8,8,26703,27064,26695,27056,0.3889,100,100,11,12,11,12,89,88,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-mmm-3_2.json,2,2340,23,23,2317,20,15,25312,26077,25292,26062,0.4031,100,100,11,7,11,7,89,93,100,7,7,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-mmm-3_3.json,2,1815,31,31,1784,10,4,26681,27485,26671,27481,0.3708,100,100,11,12,11,12,89,88,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-mmm-3_4.json,2,1925,29,27,1896,22,7,25808,26661,25786,26654,0.3626,100,100,11,7,11,7,89,93,100,12,12,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-mmm-3_5.json,2,1923,26,26,1897,6,20,27283,28239,27277,28219,0.3862,100,100,8,10,8,10,92,90,100,10,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-ull-3_1.json,2,1426,169,162,1257,48,124,29819,29534,29771,29410,0.1813,100,100,83,86,79,83,17,14,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-ull-3_2.json,2,1343,174,171,1169,30,61,29409,29598,29379,29537,0.1517,100,100,88,86,88,83,12,14,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-ull-3_3.json,2,1327,171,165,1156,131,15,29745,29691,29614,29676,0.1544,100,100,86,83,84,83,14,17,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-ull-3_4.json,2,1329,171,171,1158,118,33,29282,29678,29164,29645,0.1884,100,100,88,83,88,83,12,17,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-ull-3_5.json,2,1439,176,170,1263,73,165,29400,29983,29327,29818,0.1642,100,100,86,88,84,88,14,12,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-uuu-3_1.json,2,738,4,4,734,195,613,29992,30000,29797,29387,0.2016,100,100,2,2,2,2,98,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-uuu-3_2.json,2,751,4,4,747,445,261,29999,29995,29554,29734,0.2363,100,100,2,2,2,2,98,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-uuu-3_3.json,2,735,4,4,731,200,191,29999,29999,29799,29808,0.2407,100,100,2,2,2,2,98,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-uuu-3_4.json,2,852,4,4,848,187,254,29999,30000,29812,29746,0.1964,100,100,2,2,2,2,98,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100-uuu-3_5.json,2,730,4,4,726,172,289,29998,29999,29826,29710,0.2071,100,100,2,2,2,2,98,98,100,2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100-llll-4_1.json,2,6483,338,321,6145,16,17,39007,38899,38991,38882,2.0305,100,100,86,79,86,78,14,21,100,83,83,17,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100-llll-4_2.json,2,6866,358,320,6508,4,11,39296,39541,39292,39530,2.1214,100,100,86,83,86,79,14,17,100,86,84,14,100,84,83,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100-llll-4_3.json,2,6575,339,317,6236,26,5,39495,38659,39469,38654,1.9407,100,100,84,80,84,79,16,20,100,83,83,17,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100-llll-4_4.json,2,6604,350,317,6254,12,15,39120,39076,39108,39061,2.0282,100,100,86,84,86,83,14,16,100,79,78,21,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
results/algorithm1/alg1-prob-2-100|100|100|100-llll-4_5.json,2,6421,346,320,6075,13,2,39678,39168,39665,39166,1.9193,100,100,86,80,84,79,14,20,100,83,83,17,100,86,83,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
